"Date" "HomeTeam" "AwayTeam" "FTHG" "FTAG" "FTR"
"97" "07/11/10" "Real Madrid" "Ath Madrid" 2 0 "H"
"98" "07/11/10" "Villarreal" "Ath Bilbao" 4 1 "H"
"99" "07/11/10" "Zaragoza" "Mallorca" 3 2 "H"
"100" "08/11/10" "Sevilla" "Valencia" 2 0 "H"
"101" "13/11/10" "Ath Bilbao" "Almeria" 1 0 "H"
"102" "13/11/10" "Ath Madrid" "Osasuna" 3 0 "H"
"103" "13/11/10" "Barcelona" "Villarreal" 3 1 "H"
"104" "14/11/10" "Hercules" "Sociedad" 2 1 "H"
"105" "14/11/10" "Malaga" "Levante" 1 0 "H"
"106" "14/11/10" "Mallorca" "La Coruna" 0 0 "D"
"107" "14/11/10" "Santander" "Espanol" 0 0 "D"
"108" "14/11/10" "Sp Gijon" "Real Madrid" 0 1 "A"
"109" "14/11/10" "Valencia" "Getafe" 2 0 "H"
"110" "14/11/10" "Zaragoza" "Sevilla" 1 2 "A"
"111" "20/11/10" "Almeria" "Barcelona" 0 8 "A"
"112" "20/11/10" "Real Madrid" "Ath Bilbao" 5 1 "H"
"113" "20/11/10" "Villarreal" "Valencia" 1 1 "D"
"114" "21/11/10" "Espanol" "Hercules" 3 0 "H"
"115" "21/11/10" "La Coruna" "Malaga" 3 0 "H"
"116" "21/11/10" "Levante" "Santander" 3 1 "H"
"117" "21/11/10" "Osasuna" "Sp Gijon" 1 0 "H"
"118" "21/11/10" "Sevilla" "Mallorca" 1 2 "A"
"119" "21/11/10" "Sociedad" "Ath Madrid" 2 4 "A"
"120" "22/11/10" "Getafe" "Zaragoza" 1 1 "D"
"121" "27/11/10" "Ath Madrid" "Espanol" 2 3 "A"
"122" "27/11/10" "Sevilla" "Getafe" 1 3 "A"
"123" "27/11/10" "Zaragoza" "Villarreal" 0 3 "A"
"124" "28/11/10" "Ath Bilbao" "Osasuna" 1 0 "H"
"125" "28/11/10" "Hercules" "Levante" 3 1 "H"
