Movie Title,Year of Realease,Genre,Movie Rating,Duration(Mins),Gross(Million),Classification
Batman v Superman: Dawn of Justice,2016,"Action,Adventure,Sci-Fi",6.4,152,330.36,C
Zhan lang II,2017,"Action,Adventure,Drama",5.9,123,2.72,B
Star Wars: Episode III - Revenge of the Sith,2005,"Action,Adventure,Fantasy",7.6,140,380.26,C
The Hunger Games: Catching Fire,2013,"Action,Adventure,Sci-Fi",7.5,146,424.67,D
Guardians of the Galaxy Vol. 2,2017,"Action,Adventure,Comedy",7.6,136,389.81,C
Inside Out,2015,"Animation,Adventure,Comedy",8.2,95,356.46,AA
Venom,2018,"Action,Adventure,Sci-Fi",6.6,112,213.52,C
Thor: Ragnarok,2017,"Action,Adventure,Comedy",7.9,130,315.06,C
Inception,2010,"Action,Adventure,Sci-Fi",8.8,148,292.58,D
Transformers: Revenge of the Fallen,2009,"Action,Adventure,Sci-Fi",5.9,149,402.11,B
The Twilight Saga: Breaking Dawn - Part 2,2012,"Adventure,Drama,Fantasy",5.5,115,292.3,B
Spider-Man,2002,"Action,Adventure,Sci-Fi",7.4,121,403.71,C
Wonder Woman,2017,"Action,Adventure,Fantasy",7.4,141,412.56,D
"Ni hao, Li Huanying",2021,"Comedy,Romance",7,128,409.01,D
Independence Day,1996,"Action,Adventure,Sci-Fi",7,145,306.17,B15
Fantastic Beasts and Where to Find Them,2016,"Adventure,Family,Fantasy",7.2,132,234.04,D
Shrek the Third,2007,"Animation,Adventure,Comedy",6.1,93,320.71,C
Coco,2017,"Animation,Adventure,Comedy",8.4,105,209.73,D
Jumanji: The Next Level,2019,"Action,Adventure,Comedy",6.7,123,316.83,A
Harry Potter and the Prisoner of Azkaban,2004,"Adventure,Family,Fantasy",7.9,142,249.36,C
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action,Adventure,Fantasy",6.5,129,172.56,B
E.T. the Extra-Terrestrial,1982,"Adventure,Family,Sci-Fi",7.9,115,435.11,D
