Movie Title,Year of Realease,Genre,Movie Rating,Duration(Mins),Gross(Million),Classification
Ice Age,2002,"Animation,Adventure,Comedy",7.5,81,176.39,A
Fifty Shades Darker,2017,"Drama,Romance,Thriller",4.5,118,114.38,D
Monsters vs. Aliens,2009,"Animation,Action,Adventure",6.4,94,198.35,D
Black Widow,2021,"Action,Adventure,Sci-Fi",6.7,134,183.65,D
Godzilla,1998,"Action,Sci-Fi,Thriller",5.4,139,136.31,AA
True Lies,1994,"Action,Comedy,Thriller",7.3,141,146.28,A
Slumdog Millionaire,2008,"Crime,Drama,Romance",8,120,141.32,C
Taken 2,2012,"Action,Crime,Thriller",6.2,92,139.85,B
G.I. Joe: Retaliation,2013,"Action,Adventure,Sci-Fi",5.7,110,122.52,B15
Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi",8.1,120,154.06,B
Spider-Man: Into the Spider-Verse,2018,"Animation,Action,Adventure",8.4,117,190.24,B
Shark Tale,2004,"Animation,Adventure,Comedy",6,90,160.86,A
Once Upon a Time... in Hollywood,2019,"Comedy,Drama",7.6,161,142.5,C
What Women Want,2000,"Comedy,Fantasy,Romance",6.4,127,182.81,D
The Adventures of Tintin,2011,"Animation,Action,Adventure",7.3,107,77.59,C
Batman Begins,2005,"Action,Crime,Drama",8.2,140,206.85,C
Penguins of Madagascar,2014,"Animation,Adventure,Comedy",6.6,92,83.35,D
X-Men Origins: Wolverine,2009,"Action,Sci-Fi",6.5,107,179.88,B15
The Golden Compass,2007,"Adventure,Family,Fantasy",6.1,113,70.11,B
Fifty Shades Freed,2018,"Drama,Romance,Thriller",4.5,105,100.41,C
Hitch,2005,"Comedy,Romance",6.6,118,179.5,D
Terminator Salvation,2009,"Action,Adventure,Sci-Fi",6.5,115,125.32,C
Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",6.9,124,176.65,AA
Edge of Tomorrow,2014,"Action,Adventure,Sci-Fi",7.9,113,100.21,A
There's Something About Mary,1998,"Comedy,Romance",7.1,119,176.48,B
Gone Girl,2014,"Drama,Mystery,Thriller",8.1,149,167.77,C
The Fugitive,1993,"Action,Crime,Drama",7.8,130,183.88,D
Jurassic Park III,2001,"Action,Adventure,Sci-Fi",5.9,92,181.17,AA
My Big Fat Greek Wedding,2002,"Comedy,Drama,Romance",6.6,95,241.44,D
Xi hong shi shou fu,2018,Comedy,6.1,118,113.75,C
Die Hard: With a Vengeance,1995,"Action,Adventure,Thriller",7.6,128,100.01,C
Shazam!,2019,"Action,Adventure,Comedy",7,132,140.37,D
The Nun,2018,"Horror,Mystery,Thriller",5.3,96,117.45,D
Alvin and the Chipmunks,2007,"Animation,Adventure,Comedy",5.2,92,217.33,A
Tenet,2020,"Action,Sci-Fi,Thriller",7.3,150,58.46,D
Notting Hill,1999,"Comedy,Drama,Romance",7.2,124,116.09,B15
A Bug's Life,1998,"Animation,Adventure,Comedy",7.2,95,162.8,D
Night at the Museum: Secret of the Tomb,2014,"Adventure,Comedy,Family",6.2,98,113.75,D
Ocean's Twelve,2004,"Crime,Thriller",6.5,125,125.54,A
Planet of the Apes,2001,"Action,Adventure,Sci-Fi",5.7,119,180.01,D
The Hangover Part III,2013,"Comedy,Crime",5.8,100,112.2,B
The World Is Not Enough,1999,"Action,Adventure,Thriller",6.4,128,126.94,C
Zhuo yao ji 2,2018,"Adventure,Comedy,Fantasy",5.4,110,0.71,A
Fast & Furious,2009,"Action,Crime,Thriller",6.5,107,155.06,B
Noah,2014,"Action,Adventure,Drama",5.8,138,101.2,C
The Karate Kid,2010,"Action,Drama,Family",6.2,140,176.59,D
Home Alone 2: Lost in New York,1992,"Adventure,Comedy,Crime",6.8,120,173.59,D
Hotel Transylvania,2012,"Animation,Adventure,Comedy",7,91,148.31,D
Minority Report,2002,"Action,Crime,Mystery",7.7,145,132.07,B
Kimi no na wa.,2016,"Animation,Drama,Fantasy",8.4,106,5.02,A
Top Gun,1986,"Action,Drama",6.9,110,179.8,C
The Legend of Tarzan,2016,"Action,Adventure,Drama",6.2,110,126.64,AA
American Beauty,1999,Drama,8.4,122,130.1,B
Sen to Chihiro no kamikakushi,2001,"Animation,Adventure,Family",8.6,125,10.06,B15
Apollo 13,1995,"Adventure,Drama,History",7.7,140,173.84,B
Rain Man,1988,Drama,8,133,178.8,B
The Great Gatsby,2013,"Drama,Romance",7.2,143,144.84,A
Dumbo,2019,"Adventure,Family,Fantasy",6.3,112,114.77,C
"I, Robot",2004,"Action,Mystery,Sci-Fi",7.1,115,144.8,C
Basic Instinct,1992,"Drama,Mystery,Thriller",7,127,117.73,C
Murder on the Orient Express,2017,"Crime,Drama,Mystery",6.5,114,102.83,A
X: First Class,2011,"Action,Adventure,Sci-Fi",7.7,131,146.41,AA
Angry Birds,2016,"Animation,Action,Adventure",6.3,97,107.51,D
GoldenEye,1995,"Action,Adventure,Thriller",7.2,130,106.6,D
Catch Me If You Can,2002,"Biography,Crime,Drama",8.1,141,164.62,C
Now You See Me,2013,"Crime,Mystery,Thriller",7.2,115,117.72,A
Hannibal,2001,"Crime,Drama,Thriller",6.8,131,165.09,C
The Mask,1994,"Action,Comedy,Crime",6.9,101,119.94,A
Peter Rabbit,2018,"Adventure,Comedy,Crime",6.6,95,115.25,B15
Speed,1994,"Action,Adventure,Thriller",7.3,116,121.25,AA
Dinosaur,2000,"Animation,Adventure,Drama",6.4,82,137.75,A
Mary Poppins Returns,2018,"Animation,Adventure,Comedy",6.7,130,171.96,B
Deep Impact,1998,"Action,Drama,Sci-Fi",6.2,120,140.46,D
The Lorax,2012,"Animation,Adventure,Comedy",6.4,86,214.03,D
The Maze Runner,2014,"Action,Mystery,Sci-Fi",6.8,113,102.43,C
The Smurfs 2,2013,"Animation,Adventure,Comedy",5.3,105,71.02,B15
National Treasure,2004,"Action,Adventure,Mystery",6.9,131,173.01,D
Rush Hour 2,2001,"Action,Comedy,Crime",6.6,90,226.16,B
Trolls,2016,"Animation,Adventure,Comedy",6.4,92,153.71,B
xXx: Return of Xander Cage,2017,"Action,Adventure,Thriller",5.2,107,44.9,C
Pocahontas,1995,"Animation,Adventure,Drama",6.7,81,141.6,B15
How the Grinch Stole Christmas,2000,"Comedy,Family,Fantasy",6.2,104,260.04,D
Star Trek Beyond,2016,"Action,Adventure,Sci-Fi",7,122,158.85,C
Alvin and the Chipmunks: Chipwrecked,2011,"Animation,Adventure,Comedy",4.3,87,133.11,B
Wanted,2008,"Action,Crime,Thriller",6.7,110,134.51,B15
The Flintstones,1994,"Comedy,Family,Fantasy",4.9,91,130.51,B
A Quiet Place,2018,"Drama,Horror,Sci-Fi",7.5,90,188.02,B
Enchanted,2007,"Animation,Adventure,Comedy",7.1,107,127.81,C
Over the Hedge,2006,"Animation,Adventure,Comedy",6.7,83,155.02,C
300: Rise of an Empire,2014,"Action,Drama",6.2,102,106.58,C
Batman Forever,1995,"Action,Adventure",5.4,121,184.03,B
Prince of Persia: The Sands of Time,2010,"Action,Adventure,Fantasy",6.6,116,90.76,B15
The Curious Case of Benjamin Button,2008,"Drama,Fantasy,Romance",7.8,166,127.51,D
Journey 2: The Mysterious Island,2012,"Action,Adventure,Comedy",5.7,94,103.86,C
The Rock,1996,"Action,Adventure,Thriller",7.4,136,134.07,C
The Great Wall,2016,"Action,Adventure,Fantasy",5.9,103,45.54,B
Now You See Me 2,2016,"Action,Adventure,Comedy",6.4,129,65.08,C
Xiu xiu de tie quan,2017,"Comedy,Fantasy,Sport",6.1,100,165.5,C
Fantastic Four,2005,"Action,Adventure,Fantasy",5.7,106,154.7,D
Indiana Jones and the Temple of Doom,1984,"Action,Adventure",7.5,118,179.87,C
Tomorrow Never Dies,1997,"Action,Adventure,Thriller",6.5,119,125.33,D
Back to the Future Part II,1989,"Adventure,Comedy,Sci-Fi",7.8,108,118.5,C
The Good Dinosaur,2015,"Animation,Adventure,Comedy",6.7,93,123.09,AA
Free Guy,2021,"Action,Adventure,Comedy",7.1,115,121.63,D
22 Jump Street,2014,"Action,Comedy,Crime",7,112,191.72,B
Meet the Parents,2000,"Comedy,Romance",7,108,166.24,B15
Who Framed Roger Rabbit,1988,"Animation,Adventure,Comedy",7.7,104,156.45,B
Black Swan,2010,"Drama,Thriller",8,108,106.95,D
The Perfect Storm,2000,"Action,Adventure,Drama",6.4,130,182.62,D
Crocodile Dundee,1986,"Action,Adventure,Comedy",6.6,97,174.64,C
Feng kuang de wai xing ren,2019,"Comedy,Sci-Fi",5.8,116,137.4,C
Se7en,1995,"Crime,Drama,Mystery",8.6,127,100.13,C
John Wick: Chapter 3 - Parabellum,2019,"Action,Crime,Thriller",7.4,130,171.02,A
The Devil Wears Prada,2006,"Comedy,Drama",6.9,109,124.74,C
Taken 3,2014,"Action,Crime,Thriller",6,108,89.26,B
The Hunchback of Notre Dame,1996,"Animation,Drama,Family",7,91,100.14,A
A Christmas Carol,2009,"Animation,Adventure,Comedy",6.8,96,137.86,D
The SpongeBob Movie: Sponge Out of Water,2015,"Animation,Adventure,Comedy",6,92,162.99,C
Schindler's List,1993,"Biography,Drama,History",9,195,96.9,C
Megamind,2010,"Animation,Action,Comedy",7.3,95,148.42,A
The Conjuring 2,2016,"Horror,Mystery,Thriller",7.3,134,102.47,B
Green Book,2018,"Biography,Comedy,Drama",8.2,130,85.08,C
Lethal Weapon 3,1992,"Action,Crime,Thriller",6.7,118,144.73,B
Robin Hood,2010,"Action,Adventure,Drama",6.6,140,105.27,B
Inglourious Basterds,2009,"Adventure,Drama,War",8.3,153,120.54,C
101 Dalmatians,1996,"Adventure,Comedy,Crime",5.7,103,136.19,C
The Conjuring,2013,"Horror,Mystery,Thriller",7.5,112,137.4,AA
Fatal Attraction,1987,"Drama,Thriller",6.9,119,156.65,A
Sonic the Hedgehog,2020,"Action,Adventure,Comedy",6.5,99,148.97,A
The Last Airbender,2010,"Action,Adventure,Family",4,103,131.56,B
The Proposal,2009,"Comedy,Drama,Romance",6.7,108,163.96,AA
A Beautiful Mind,2001,"Biography,Drama",8.2,135,170.74,B
Beverly Hills Cop,1984,"Action,Comedy,Crime",7.3,105,234.76,A
The Polar Express,2004,"Animation,Adventure,Comedy",6.6,100,183.37,A
Air Force One,1997,"Action,Drama,Thriller",6.5,124,172.96,D
The Expendables 2,2012,"Action,Adventure,Thriller",6.6,103,85.02,D
Chicken Little,2005,"Animation,Adventure,Comedy",5.7,81,135.39,D
As Good as It Gets,1997,"Comedy,Drama,Romance",7.7,139,148.48,A
Maze Runner: The Scorch Trials,2015,"Action,Adventure,Sci-Fi",6.3,131,81.7,A
Resident Evil: The Final Chapter,2016,"Action,Horror,Sci-Fi",5.5,107,26.83,AA
The Lego Batman Movie,2017,"Animation,Action,Adventure",7.3,104,175.75,B15
Austin Powers: The Spy Who Shagged Me,1999,"Action,Adventure,Comedy",6.6,95,206.04,D
Knives Out,2019,"Comedy,Crime,Drama",7.9,130,165.36,A
Ocean's Thirteen,2007,"Crime,Thriller",6.9,122,117.15,C
Little Fockers,2010,"Comedy,Romance",5.5,98,148.38,B
Bolt,2008,"Animation,Adventure,Comedy",6.8,96,114.05,B
Ransom,1996,"Action,Crime,Thriller",6.7,121,136.49,A
Runaway Bride,1999,"Comedy,Romance",5.6,116,152.26,A
The Blind Side,2009,"Biography,Drama,Sport",7.6,129,255.96,D
Qian ren 3: Zai jian qian ren,2017,"Comedy,Romance",5.6,120,0.84,D
The Fault in Our Stars,2014,"Drama,Romance",7.7,126,124.87,C
The Pursuit of Happyness,2006,"Biography,Drama",8,117,163.57,A
Rise of the Guardians,2012,"Animation,Action,Adventure",7.2,97,103.41,C
Close Encounters of the Third Kind,1977,"Drama,Sci-Fi",7.6,138,132.09,B15
Chicago,2002,"Comedy,Crime,Musical",7.2,113,170.69,D
Annabelle: Creation,2017,"Horror,Mystery,Thriller",6.5,109,102.09,C
Wonder,2017,"Drama,Family",7.9,113,132.42,C
Skyscraper,2018,"Action,Adventure,Thriller",5.8,102,68.42,AA
A Good Day to Die Hard,2013,"Action,Thriller",5.2,98,67.35,A
Mulan,1998,"Animation,Adventure,Comedy",7.6,88,120.62,C
Dangal,2016,"Action,Biography,Drama",8.3,161,12.39,C
Passengers,2016,"Drama,Romance,Sci-Fi",7,116,100.01,A
Battleship,2012,"Action,Adventure,Sci-Fi",5.8,131,65.42,C
Liar Liar,1997,"Comedy,Fantasy",6.9,86,181.41,A
G.I. Joe: The Rise of Cobra,2009,"Action,Adventure,Sci-Fi",5.7,118,152.27,C
Wrath of the Titans,2012,"Action,Adventure,Fantasy",5.7,99,83.67,A
4: Rise of the Silver Surfer,2007,"Action,Adventure,Fantasy",5.6,92,131.92,A
Hook,1991,"Adventure,Comedy,Family",6.8,142,119.65,C
Superman,1978,"Action,Adventure,Sci-Fi",7.4,143,134.22,A
Rocky IV,1985,"Drama,Sport",6.8,91,127.87,D
Rambo: First Blood Part II,1985,"Action,Adventure,Thriller",6.5,96,150.42,B
Resident Evil: Afterlife,2010,"Action,Horror,Sci-Fi",5.8,96,60.13,C
Van Helsing,2004,"Action,Adventure,Fantasy",6,131,120.18,AA
Stuart Little,1999,"Adventure,Comedy,Family",6,84,140.04,A
Beverly Hills Cop II,1987,"Action,Comedy,Crime",6.5,100,153.67,A
Alice Through the Looking Glass,2016,"Adventure,Family,Fantasy",6.2,113,77.04,A
My Best Friend's Wedding,1997,"Comedy,Drama,Romance",6.3,105,127.12,B
Real Steel,2011,"Action,Drama,Sci-Fi",7,127,85.47,D
Horton Hears a Who!,2008,"Animation,Adventure,Comedy",6.8,86,154.53,B
Ocean's Eight,2018,"Action,Comedy,Crime",6.3,110,140.22,B15
A Quiet Place Part II,2020,"Drama,Horror,Sci-Fi",7.2,97,160.07,D
Insurgent,2015,"Action,Adventure,Sci-Fi",6.2,119,130.18,B
Look Who's Talking,1989,Comedy,5.9,93,140.09,D
Austin Powers in Goldmember,2002,"Action,Adventure,Comedy",6.2,94,213.31,C
Ghostbusters,1984,"Action,Comedy,Fantasy",7.8,105,238.63,A
Miss Peregrine's Home for Peculiar Children,2016,"Adventure,Drama,Family",6.7,127,87.24,D
X-Men,2000,"Action,Adventure,Sci-Fi",7.3,104,157.3,A
Ferdinand,2017,"Animation,Adventure,Comedy",6.7,108,84.41,D
Shutter Island,2010,"Mystery,Thriller",8.2,138,128.01,C
Doctor Dolittle,1998,"Comedy,Family,Fantasy",5.4,85,144.16,C
Bee Movie,2007,"Animation,Adventure,Comedy",6.1,91,126.63,B
Salt,2010,"Action,Thriller",6.4,100,118.31,B15
G-Force,2009,"Animation,Action,Adventure",5.1,88,119.44,C
The Departed,2006,"Crime,Drama,Thriller",8.5,151,132.38,D
What Lies Beneath,2000,"Drama,Horror,Mystery",6.6,130,155.46,AA
Pacific Rim: Uprising,2018,"Action,Adventure,Fantasy",5.6,111,59.87,C
The Bourne Supremacy,2004,"Action,Mystery,Thriller",7.7,108,176.24,B
Sex and the City 2,2010,"Comedy,Drama,Romance",4.5,146,95.35,B
Shakespeare in Love,1998,"Comedy,Drama,History",7.1,123,100.32,A
Divergent,2014,"Action,Adventure,Mystery",6.6,139,150.95,C
Coming to America,1988,"Comedy,Romance",7.1,117,128.15,B
Wedding Crashers,2005,"Comedy,Romance",7,119,209.22,D
Bridesmaids,2011,"Comedy,Romance",6.8,125,169.11,C
Maze Runner: The Death Cure,2018,"Action,Adventure,Sci-Fi",6.2,143,58.03,A
Casper,1995,"Comedy,Family,Fantasy",6.1,100,100.33,C
American Pie 2,2001,Comedy,6.4,108,145.1,B
Pitch Perfect 2,2015,"Comedy,Music",6.4,115,184.3,A
The Green Mile,1999,"Crime,Drama,Fantasy",8.6,189,136.8,C
Oblivion,2013,"Action,Adventure,Sci-Fi",7,124,89.02,C
Elysium,2013,"Action,Drama,Sci-Fi",6.6,109,93.05,C
Lethal Weapon 4,1998,"Action,Crime,Thriller",6.6,127,130.44,A
John Carter,2012,"Action,Adventure,Sci-Fi",6.6,132,73.08,D
Turbo,2013,"Animation,Adventure,Comedy",6.4,96,83.03,D
Paddington,2014,"Adventure,Comedy,Family",7.3,95,76.27,C
Bridget Jones's Diary,2001,"Comedy,Drama,Romance",6.7,97,71.54,B
Elvis,2022,"Biography,Drama,Music",7.5,159,65.08,D
The Tourist,2010,"Action,Thriller",6,103,67.63,D
Split,2016,"Horror,Thriller",7.3,117,138.29,C
Scary Movie,2000,Comedy,6.2,88,157.02,C
xXx,2002,"Action,Adventure,Thriller",5.8,124,142.11,D
The Bourne Legacy,2012,"Action,Adventure,Thriller",6.6,135,113.2,C
Mr. Peabody & Sherman,2014,"Animation,Adventure,Comedy",6.8,92,111.51,AA
Scooby-Doo,2002,"Adventure,Comedy,Family",5.2,89,153.29,A
Lincoln,2012,"Biography,Drama,History",7.3,150,182.21,C
Lara Croft: Tomb Raider,2001,"Action,Adventure,Fantasy",5.7,100,131.14,B
Tomb Raider,2018,"Action,Adventure,Fantasy",6.3,119,58.25,AA
The Expendables,2010,"Action,Adventure,Thriller",6.4,103,103.07,D
Cloudy with a Chance of Meatballs 2,2013,"Animation,Adventure,Comedy",6.3,95,119.79,D
The Nutty Professor,1996,"Comedy,Romance,Sci-Fi",5.7,95,128.81,A
Jerry Maguire,1996,"Comedy,Drama,Romance",7.3,139,153.95,A
Bad Boys II,2003,"Action,Comedy,Crime",6.6,147,138.61,D
Lilo & Stitch,2002,"Animation,Adventure,Comedy",7.3,85,145.79,D
The Silence of the Lambs,1991,"Crime,Drama,Thriller",8.6,118,130.74,D
Grown Ups,2010,Comedy,5.9,102,162,C
Neighbors,2014,Comedy,6.3,97,150.16,A
The Firm,1993,"Drama,Mystery,Thriller",6.8,154,158.35,C
We're the Millers,2013,"Comedy,Crime",7,110,150.39,D
Gran Torino,2008,Drama,8.1,116,148.1,A
"10,000 BC",2008,"Action,Adventure,Drama",5.1,109,94.78,D
American Gangster,2007,"Biography,Crime,Drama",7.8,157,130.16,D
Epic,2013,"Animation,Action,Adventure",6.6,102,107.52,A
Exodus: Gods and Kings,2014,"Action,Adventure,Drama",6,150,65.01,C
Bambi,1942,"Animation,Adventure,Drama",7.3,69,102.8,C
The Princess and the Frog,2009,"Animation,Adventure,Comedy",7.1,97,104.4,C
Batman Returns,1992,"Action,Crime,Fantasy",7.1,126,162.83,C
Indecent Proposal,1993,"Drama,Romance",6,117,106.61,B15
Something's Gotta Give,2003,"Comedy,Drama,Romance",6.7,128,124.73,D
Bridget Jones: The Edge of Reason,2004,"Comedy,Drama,Romance",6,108,40.23,B
The Incredible Hulk,2008,"Action,Adventure,Sci-Fi",6.6,112,134.52,D
Waterworld,1995,"Action,Adventure,Sci-Fi",6.2,135,88.25,C
The Truman Show,1998,"Comedy,Drama",8.2,103,125.62,B
Charlie's Angels,2000,"Action,Adventure,Comedy",5.6,98,125.31,AA
The Fifth Element,1997,"Action,Adventure,Sci-Fi",7.6,126,63.54,D
Gisaengchung,2019,"Drama,Thriller",8.5,132,53.37,A
Jumanji,1995,"Adventure,Comedy,Family",7,104,100.48,C
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy,7.3,84,128.51,B
Robots,2005,"Animation,Adventure,Comedy",6.4,91,128.2,C
Knight and Day,2010,"Action,Adventure,Comedy",6.3,109,76.42,D
Total Recall,1990,"Action,Adventure,Sci-Fi",7.5,113,119.39,C
This Is It,2009,"Documentary,Drama,Music",7.2,111,72.09,B
Terminator: Dark Fate,2019,"Action,Adventure,Sci-Fi",6.2,128,62.25,D
The Lone Ranger,2013,"Action,Adventure,Western",6.4,150,89.3,D
Super 8,2011,"Action,Mystery,Sci-Fi",7,112,127,A
Xun long jue,2015,"Action,Adventure,Drama",5.9,127,1.24,C
Blade Runner 2049,2017,"Action,Drama,Mystery",8,164,92.05,C
Charlie's Angels: Full Throttle,2003,"Action,Adventure,Comedy",4.9,106,100.83,D
Rush Hour 3,2007,"Action,Comedy,Crime",6.2,91,140.13,B15
The Full Monty,1997,"Comedy,Drama",7.2,91,45.95,A
Gong fu yu jia,2017,"Action,Adventure,Comedy",5.1,107,0.36,C
Annabelle,2014,"Horror,Mystery,Thriller",5.4,99,84.27,D
Encanto,2021,"Animation,Comedy,Family",7.2,102,96.09,D
The Village,2004,"Drama,Mystery,Thriller",6.6,108,114.2,D
Gang jiong,2015,"Action,Adventure,Comedy",5.4,114,1.3,B
Erin Brockovich,2000,"Biography,Drama",7.4,131,125.6,D
Fei chi ren sheng,2019,"Comedy,Sport",6.3,98,130.74,B
Get Out,2017,"Horror,Mystery,Thriller",7.7,104,176.04,C
Marley & Me,2008,"Comedy,Drama,Family",7,111,143.15,B
Halloween,2018,"Crime,Horror,Thriller",6.5,106,159.34,D
Us,2019,"Horror,Mystery,Thriller",6.8,116,175.08,AA
Cliffhanger,1993,"Action,Adventure,Thriller",6.5,113,84.05,B
Baahubali 2: The Conclusion,2017,"Action,Drama",8.2,167,20.19,A
Babe,1995,"Comedy,Drama,Family",6.9,91,66.6,C
Men in Black: International,2019,"Action,Adventure,Comedy",5.6,114,80,D
Wild Hogs,2007,"Action,Adventure,Comedy",5.8,100,168.27,B
High School Musical 3: Senior Year,2008,"Comedy,Drama,Family",4.9,112,90.56,B15
Hercules,1997,"Animation,Adventure,Comedy",7.3,93,99.05,C
Dark Phoenix,2019,"Action,Adventure,Sci-Fi",5.7,113,65.85,A
True Grit,2010,"Drama,Western",7.6,110,171.24,D
Dolittle,2020,"Adventure,Comedy,Family",5.6,101,77.05,C
Bean,1997,"Adventure,Comedy,Family",6.5,89,45.32,B
American Hustle,2013,"Crime,Drama",7.2,138,150.12,A
Enemy of the State,1998,"Action,Thriller",7.3,132,111.55,C
You've Got Mail,1998,"Comedy,Drama,Romance",6.7,119,115.82,D
Eragon,2006,"Action,Adventure,Family",5.1,104,75.03,B
Brother Bear,2003,"Animation,Adventure,Comedy",6.8,85,85.34,C
The Godfather,1972,"Crime,Drama",9.2,175,134.97,D
The Mask of Zorro,1998,"Action,Adventure,Comedy",6.8,136,94.1,C
The Ring,2002,"Horror,Mystery",7.1,115,129.13,B
The Blair Witch Project,1999,"Horror,Mystery",6.5,81,140.54,C
Unbreakable,2000,"Drama,Mystery,Sci-Fi",7.3,106,95.01,B
Journey to the West: Demon Chapter,2017,"Adventure,Comedy,Family",5.4,109,0.88,C
Dumb and Dumber,1994,Comedy,7.3,107,127.18,B15
Glass,2019,"Drama,Horror,Sci-Fi",6.6,129,111.05,AA
Grown Ups 2,2013,Comedy,5.3,101,133.67,A
The Peanuts Movie,2015,"Animation,Adventure,Comedy",7,88,130.18,A
Rango,2011,"Animation,Action,Adventure",7.2,107,123.48,A
The Bad Guys,2022,"Animation,Adventure,Comedy",6.8,100,84.05,D
Four Weddings and a Funeral,1994,"Comedy,Drama,Romance",7.1,117,52.7,C
Face/Off,1997,"Action,Crime,Sci-Fi",7.3,138,112.23,B
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"Action,Adventure,Comedy",5.9,112,82.05,D
Dark Shadows,2012,"Comedy,Fantasy,Horror",6.2,113,79.73,B
Hulk,2003,"Action,Sci-Fi",5.6,138,132.18,C
Love Actually,2003,"Comedy,Drama,Romance",7.6,135,59.7,AA
Lie huo ying xiong,2019,"Action,Drama,Family",5.7,118,0.29,A
Bienvenue chez les Ch'tis,2008,"Comedy,Romance",7.1,106,1.48,C
Back to the Future Part III,1990,"Adventure,Comedy,Sci-Fi",7.4,118,87.73,A
Pixels,2015,"Action,Comedy,Fantasy",5.6,105,78.75,B15
Hercules,2014,"Action,Adventure,Fantasy",6,98,72.69,C
Rush Hour,1998,"Action,Comedy,Crime",7,98,141.15,D
Journey to the Center of the Earth,2008,"Action,Adventure,Family",5.8,93,101.7,C
After Earth,2013,"Action,Adventure,Sci-Fi",4.8,100,60.52,C
A Few Good Men,1992,"Drama,Thriller",7.7,138,141.34,C
Cloudy with a Chance of Meatballs,2009,"Animation,Adventure,Comedy",6.9,90,124.87,D
8 Mile,2002,"Drama,Music",7.2,110,116.72,B
Daddy's Home,2015,"Comedy,Family",6.1,96,150.36,C
RoboCop,2014,"Action,Crime,Sci-Fi",6.2,117,58.61,C
Eraser,1996,"Action,Crime,Thriller",6.2,115,101.3,C
Alien: Covenant,2017,"Horror,Sci-Fi,Thriller",6.4,122,74.26,B
Sully,2016,"Biography,Drama",7.4,96,125.07,C
Assassin's Creed,2016,"Action,Adventure,Sci-Fi",5.6,115,54.65,C
Click,2006,"Comedy,Drama,Fantasy",6.4,107,137.36,B
Jiang Ziya,2020,"Animation,Action,Adventure",6.5,110,0.21,B
Resident Evil: Retribution,2012,"Action,Horror,Sci-Fi",5.3,95,42.35,B15
Die Hard 2,1990,"Action,Thriller",7.1,124,117.54,C
Crocodile Dundee II,1988,"Action,Adventure,Comedy",5.7,108,109.31,B
Planes,2013,"Animation,Adventure,Comedy",5.7,91,90.29,C
Crazy Rich Asians,2018,"Comedy,Drama,Romance",6.9,120,174.53,B15
Batman & Robin,1997,"Action,Sci-Fi",3.7,125,107.33,B
Gulliver's Travels,2010,"Adventure,Comedy,Family",4.9,85,42.78,A
Gone in Sixty Seconds,2000,"Action,Crime,Thriller",6.5,118,101.65,D
Saturday Night Fever,1977,"Drama,Music",6.8,118,94.21,C
Silver Linings Playbook,2012,"Comedy,Drama,Romance",7.7,122,132.09,A
2 Fast 2 Furious,2003,"Action,Adventure,Crime",5.9,107,127.15,D
Hauru no ugoku shiro,2004,"Animation,Adventure,Family",8.2,119,4.71,B15
Hidden Figures,2016,"Biography,Drama,History",7.8,127,169.61,C
A.I. Artificial Intelligence,2001,"Drama,Sci-Fi",7.2,146,78.62,B
Dead Poets Society,1989,"Comedy,Drama",8.1,128,95.86,C
Spy,2015,"Action,Comedy",7,120,110.83,A
American Pie,1999,Comedy,7,95,102.56,AA
American Reunion,2012,Comedy,6.7,113,57.01,A
Big Daddy,1999,"Comedy,Drama",6.4,93,163.48,B
Alvin and the Chipmunks: The Road Chip,2015,"Animation,Adventure,Comedy",4.9,92,85.89,A
The Imitation Game,2014,"Biography,Drama,Thriller",8,114,91.13,A
Cruella,2021,"Adventure,Comedy,Crime",7.3,134,86.1,B
The Day the Earth Stood Still,2008,"Adventure,Drama,Sci-Fi",5.5,104,79.37,B
American Wedding,2003,Comedy,6.3,96,104.57,D
The Girl with the Dragon Tattoo,2011,"Crime,Drama,Mystery",7.8,158,102.52,B
Juno,2007,"Comedy,Drama",7.5,96,143.5,A
Argo,2012,"Biography,Drama,Thriller",7.7,120,136.03,A
Mr. Bean's Holiday,2007,"Comedy,Family",6.4,90,33.3,AA
The English Patient,1996,"Drama,Romance,War",7.4,162,78.65,C
Sister Act,1992,"Comedy,Family,Music",6.5,100,139.61,D
Annabelle Comes Home,2019,"Horror,Mystery,Thriller",5.9,106,74.15,C
Constantine,2005,"Action,Fantasy,Horror",7,121,75.98,B15
Get Smart,2008,"Action,Adventure,Comedy",6.5,110,130.32,B
Space Jam,1996,"Animation,Adventure,Comedy",6.5,88,90.46,C
La vita è bella,1997,"Comedy,Drama,Romance",8.6,116,57.6,C
The Heat,2013,"Action,Comedy,Crime",6.6,117,159.58,C
Ghostbusters,2016,"Action,Comedy,Fantasy",6.9,117,128.34,A
Ghost Rider,2007,"Action,Fantasy,Thriller",5.2,110,115.8,C
Xia Luo te fan nao,2015,Comedy,6.7,104,1.29,A
Paddington 2,2017,"Adventure,Comedy,Family",7.8,103,40.44,C
Sleepless in Seattle,1993,"Comedy,Drama,Romance",6.8,105,126.53,C
Lethal Weapon 2,1989,"Action,Crime,Thriller",7.2,114,147.25,B
The Green Hornet,2011,"Action,Comedy,Crime",5.8,119,98.78,D
Out of Africa,1985,"Biography,Drama,Romance",7.1,161,87.1,C
Fang hua,2017,"Drama,Romance,War",7,135,1.89,D
